"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","logAdjP","Category","category","subcategory"
"GO:1903311","GO:1903311","regulation of mRNA metabolic process","29/622","423/18860",0.0685579196217494,2.07878193579774,4.14404667552113,0.000177104188145956,0.00356888784650197,0.00283281762899902,"ACIN1/FBLL1/APEX1/CAPRIN1/CNOT1/CNOT7/DDX17/DDX5/DHX36/DHX9/EIF4A3/ELAVL1/FXR1/FXR2/HNRNPA0/HNRNPA1/HNRNPL/NPM1/PABPC1/PABPC4/PRPF19/PTBP1/SERBP1/SRPK1/SYNCRIP/TNKS1BP1/UPF1/VIM/ZC3HAV1",29,2.44746709967971,"BP",NA,NA
"GO:2001252","GO:2001252","positive regulation of chromosome organization","12/622","105/18860",0.114285714285714,3.46531924666973,4.67816137029979,0.000177267835892186,0.00356888784650197,0.00283281762899902,"TCP1/CCT5/CCT8/CCT2/CCT6A/DHX36/HNRNPA1/HNRNPA2B1/HSP90AA1/RUVBL1/RUVBL2/SFPQ",12,2.44746709967971,"BP",NA,NA
"GO:0055075","GO:0055075","potassium ion homeostasis","7/622","37/18860",0.189189189189189,5.73650821239246,5.3257484846927,0.000178369729804554,0.00357525229343931,0.00283786943176177,"ATP1A4/ATP1B1/ATP4A/ATP6V1B1/SLC12A7/ATP1A1/YWHAE",7,2.44669330609159,"BP",NA,NA
"GO:0098869","GO:0098869","cellular oxidant detoxification","11/622","90/18860",0.122222222222222,3.70596641657735,4.7520110039329,0.00018006134565141,0.00359332948558736,0.00285221826837484,"SELENOF/CP/NNT/MGST1/GPX4/CAT/PRDX1/AMBP/HBB/PRDX2/PRDX3",11,2.44450295891228,"BP",NA,NA
"GO:1902175","GO:1902175","regulation of oxidative stress-induced intrinsic apoptotic signaling pathway","8/622","49/18860",0.163265306122449,4.95045606667104,5.11334683399074,0.000182715169408992,0.00363036690310443,0.0028816168524121,"P4HB/TRAP1/VNN1/CA3/NONO/PARP1/PPIA/SFPQ",8,2.44004948076518,"BP",NA,NA
"GO:0009615","GO:0009615","response to virus","30/622","445/18860",0.0674157303370786,2.04414899382203,4.1164470659902,0.000184480635748191,0.00364950822893161,0.00289681034897961,"PHB1/PHB2/CCT5/CALR/IRGM/VAPB/ATAD3A/SEC11A/ADAR/CFL1/CNOT7/DDX1/DDX17/DDX3X/DHX15/DHX36/DHX9/EEF1G/ENO1/EXOSC4/G3BP1/HSP90AA1/ILF3/PLSCR1/RPS15A/RPSA/TRIM25/TRIM28/UBE2N/ZC3HAV1",30,2.43776565276276,"BP",NA,NA
"GO:0035966","GO:0035966","response to topologically incorrect protein","16/622","172/18860",0.0930232558139535,2.82060868914978,4.42960844817425,0.000188995364297645,0.00372263596343847,0.00295485575258702,"CAV1/HSPA8/HSP90AB1/EIF2S1/VCP/VAPB/ATAD3A/CTH/DERL1/TRAM1/DNAJA1/DNAJB14/HSP90AA1/HSPA1A/HSPA1L/HSPA5",16,2.42914943136149,"BP",NA,NA
"GO:0006941","GO:0006941","striated muscle contraction","18/622","208/18860",0.0865384615384615,2.62397971803117,4.34926111490284,0.000192002586384871,0.00376556796573778,0.00298893318460296,"CAV1/GSN/DSG2/ATP1B1/CACNA2D1/GNAS/MYH14/CA3/DSP/ATP2A2/ACTC1/ASPH/ATP1A1/EEF2/FLNA/HSP90AA1/JUP/TTN",18,2.42416950929528,"BP",NA,NA
"GO:1903321","GO:1903321","negative regulation of protein modification by small protein conjugation or removal","11/622","91/18860",0.120879120879121,3.66524151090068,4.70654932693492,0.000198832579355897,0.00388278212905293,0.00308197235044086,"CAV1/BAG2/DCUN1D3/DNAJA1/HSPA1A/HSPA1B/PPIA/RPL11/RPL5/RPS3/SQSTM1",11,2.41085697793314,"BP",NA,NA
"GO:0007015","GO:0007015","actin filament organization","31/622","469/18860",0.0660980810234542,2.00419583296197,4.06694295636408,0.000205388574886877,0.00398146936576037,0.00316030570131263,"RAC1/RAC2/PPP1R9B/CAP1/GSN/PLEC/HSP90B1/MYADM/RDX/SPTBN2/ACTN1/ARF6/ARPC4/CAPZA2/MYO1B/SPTBN1/ACTA1/ACTC1/ACTG1/CAPZB/CFL1/CFL2/CORO1C/DBN1/FLNA/LIMA1/MYO1C/NRP1/SPTAN1/TPM3/TTN",31,2.39995662147544,"BP",NA,NA
