"","GeneName","UniProt","Protein_name"
"190","Sfxn1","B3KPW3",NA
"191","Sfxn2","Q5JSM6",NA
"192","Sfxn3","A0A8V8TP06",NA
"193","Siglec1","A5D8Z7",NA
"194","Slc12a7","A0A0G2JNW7",NA
"195","Slc22a1","A6NFF3",NA
"196","Slc22a18","Q96BI1",NA
"197","Slc25a15","B2R921",NA
"198","Slc26a1","A8K9N2",NA
"199","Slc28a2","A8K7F9",NA
"200","Slc2a2","A8K481",NA
"201","Slc38a3","B2R8Q0",NA
"202","Slc38a4","A8K553",NA
"203","Slc4a4","A0A8V8TNB1",NA
"204","Sptbn2","A0A087WYQ1",NA
"205","Steap3","A8K6E3",NA
"206","Steap4","Q658Q9",NA
"207","Stoml2","Q9UJZ1",NA
"208","Tap1","Q03518",NA
"209","Tap2","A0A1V0E3Z3",NA
"210","Tapbp","A0A0G2JKZ1",NA
"211","Tcirg1","A0A8V8TM28",NA
"212","Tm9sf4","A0A0C4DFM1",NA
"213","Tmed10","A0A024R6I3",NA
"214","Tmem205","K7ELQ9",NA
"215","Vapa","Q9P0L0",NA
"216","Vapb","Q59EZ6",NA
"217","Vdac3","Q9Y277",NA
"218","Vnn1","A8K310",NA
"219","Acsl1","A8K9T3",NA
"220","Acsl5","A0A8C8KCK5",NA
"221","Atad3a","B3KPB3",NA
"222","Bdh1","A0A384MTY4",NA
"223","Chchd3","C9JRZ6",NA
"224","Chdh","Q8NE62",NA
"225","Cisd1","Q1X902",NA
"226","Comtd1","A8K337",NA
"227","Cox4i1","B2R4J2",NA
"228","Cox5b","A0A384NL93",NA
"229","Cox7a2l","D6W5A1",NA
"230","Cps1","B7Z818",NA
"231","Cyb5b","A8K6B1",NA
"232","Cyb5r3","A0A8J8Z3C6",NA
"233","Cyc1","P08574",NA
"234","Cyp1a2","P05177",NA
"235","Decr1","Q16698",NA
"236","Faah","D3DQ19",NA
"237","Ghitm","A8K9Z9",NA
"238","Glud1","A0A140VK14",NA
"239","Hadh","A0A0A0MSE2",NA
"240","Hadha","B2R7L4",NA
"241","Hmgcs2","P54868",NA
"242","Hsd17b10","Q99714",NA
"243","Hsd17b13","Q7Z5P4",NA
"244","Immt","B4DKR1",NA
"245","Lactb","P83111",NA
"246","Maoa","B4DF46",NA
"247","Mccc2","A0A804HK37",NA
"248","Mdh2","Q6FHZ0",NA
"249","Mtch2","Q53G34",NA
"250","Mt-co1","A0A1X7RBG2",NA
"251","Mt-co2","A0A1B0VYS2",NA
"252","Mt-nd1","A0A059RPU0",NA
"253","Mt-nd2","A0A1X7RBG6",NA
"254","Mt-nd4","A0A097PWY9",NA
"255","Mt-nd5","A0S302",NA
"256","Mtx1","A0A0A0MRK6",NA
"257","Mtx2","B7Z9F3",NA
"258","Ndufa12","A0A804HJF8",NA
"259","Ndufa2","O43678",NA
"260","Ndufa5","A0A087X1G1",NA
"261","Ndufa6","A0A2Y9D025",NA
"262","Ndufa7","Q9NPF0",NA
"263","Ndufa8","B7Z768",NA
"264","Ndufa9","A8K4V2",NA
"265","Ndufb10","A8K761",NA
"266","Ndufb3","O43676",NA
"267","Ndufb4","O95168",NA
"268","Ndufb5","O43674",NA
"269","Ndufb6","A0A087WZX2",NA
"270","Ndufb7","P17568",NA
"271","Ndufb8","E9PQ68",NA
"272","Ndufc2","O95298",NA
"273","Ndufs1","A0A291FIZ5",NA
"274","Ndufs3","B2R9J1",NA
"275","Ndufs4","H0Y9M8",NA
"276","Ndufs7","B7Z1U1",NA
"277","Ndufs8","B2RB86",NA
"278","Ndufv1","G3V0I5",NA
"279","Ndufv2","A8K750",NA
"280","Nipsnap1","B4DQI7",NA
"281","Nnt","E9PCX7",NA
"282","Pc","B4DN00",NA
"283","Pdhb","A0A384MDR8",NA
"284","Rmnd1","A0A087WXU0",NA
"285","Samm50","Q53HC4",NA
"286","Sdha","Q0QF12",NA
"287","Sdhb","A0AAQ5BHC9",NA
"288","Slc25a1","D9HTE9",NA
"289","Slc25a10","A0A0S2Z3G3",NA
"290","Slc25a11","I3L1P8",NA
"291","Slc25a13","Q53GR7",NA
"292","Slc25a20","B2R7F4",NA
"293","Slc25a27","B4DHR4",NA
"294","Slc25a3","A0A024RBE8",NA
"295","Srd5a1","B2R7Q1",NA
"296","Tmem126a","Q9H061",NA
"297","Tmem14c","A0A0S2Z5C3",NA
"298","Tomm22","Q53GB0",NA
"299","Tomm40","A0A024R0P9",NA
"300","Uqcrc1","A0AAQ5BHN1",NA
"301","Uqcrfs1","A0A384NPX8",NA
"302","Uqcrq","O14949",NA
"303","Actbl2","B2RPJ1",NA
"304","Actn1","A0A024R694",NA
"305","Aldob","A8K430",NA
"306","Arf6","P26438",NA
"307","Arg1","A0A5F9ZGN6",NA
"308","Arpc4","P59998",NA
"309","Bhmt","B2RCQ6",NA
"310","Capza2","A4D0V4",NA
"311","Car3","B2R867",NA
"312","Cdh2","P19022",NA
"313","Col18a1","A0AAG2UW65",NA
"314","Cth","P32929",NA
"315","Ctnna1","B4E2G8",NA
"316","Dsp","Q4LE79",NA
"317","Krt1","B2RA01",NA
"318","Krt10","P13645",NA
"319","Krt12","B2R9E0",NA
"320","Krt14","P02533",NA
"321","Krt15","A8K488",NA
"322","Krt18","B2RA03",NA
"323","Krt27","Q7Z3Y8",NA
"324","Krt4","B4DKJ0",NA
"325","Krt5","B4E1T1",NA
"326","Krt7","B3KY79",NA
"327","Krt73","Q32MB2",NA
"328","Krt75","B4DQU4",NA
"329","Krt76","B4DRR3",NA
"330","Krt8","Q7L4M3",NA
"331","Myo1b","B0I1S9",NA
"332","Pdia6","Q15084",NA
"333","Sptbn1","B2RP63",NA
"334","Tuba1c","B7Z1K5",NA
"335","Tubb5","B4DY90",NA
"336","Ugt1a5","A6NJC3",NA
"337","Dpep1","A0A140VJI3",NA
"338","Dpp4","A0A7I2V2R5",NA
"339","Lrrc59","B2RE83",NA
"340","Rpl13","A8K4C8",NA
"341","Rpl14","P50914",NA
"342","Rpl15","E7EQV9",NA
"343","Rpl18a","B2R4C0",NA
"344","Rpl23a","B2R5B2",NA
"345","Rpl3","B2RDV9",NA
"346","Rplp2","P05387",NA
"347","Rps13","B0YIX6",NA
"348","Rps14","A0A2R8Y811",NA
"349","Rps4x","B2R491",NA
"350","Rps5","B2R4T2",NA
"351","Rps6","A2A3R6",NA
"352","Rps8","A0AAG2TTP8",NA
"353","Armc10","Q8N2F6",NA
"354","Atp2a2","H7C5W9",NA
"355","Bcap31","B3KQ79",NA
"356","Cisd2","Q7Z3D5",NA
"357","Cyp2e1","A8K457",NA
"358","Derl1","Q9BUN8",NA
"359","Dhcr7","A0A024R5F7",NA
"360","Dnajc11","B4DPK2",NA
"361","Ephx1","A0A024R3P4",NA
"362","Erlin1","B0QZ42",NA
"363","Fmo3","A0A024R8Z4",NA
"364","Fmo5","P49326",NA
"365","Hsd17b11","D6RCD0",NA
"366","Hsd17b6","B2R8L8",NA
"367","Lman1","B2R774",NA
"368","Lpcat3","B2RDH0",NA
"369","Maob","B2R6R3",NA
"370","Mgst1","A8K533",NA
"371","Mlec","F5H1S8",NA
"372","Por","P16435",NA
"373","Ppib","A0A7P0TB45",NA
"374","Sec11a","P0C7V7",NA
"375","Sec61b","P38390",NA
"376","Slc27a2","Q53GS2",NA
"377","Slc27a5","Q9Y2P5",NA
"378","Soat2","F5H7W4",NA
"379","Ssr1","C9JBX5",NA
"380","Tmco1","B2REA0",NA
"381","Tmem11","P17152",NA
"382","Tram1","Q6FHU7",NA
"383","Acin1","E7EQT4",NA
"384","Fbl","B4DLD4",NA
"385","Fbll1","A6NHQ2",NA
"386","Gpx4","K7EJ20",NA
"387","H3f3b","P0DPK2",NA
"388","Lbr","B2R5P3",NA
"389","Mex3a","A1L020",NA
"390","Acox3","B2R856",NA
"391","Cat","A0A384P5Q0",NA
"392","Dhrs4","Q9BTZ2",NA
"393","Ehhadh","Q08426",NA
"394","Prdx1","A0A384NPQ2",NA
"395","Pxmp2","Q9NR77",NA
"396","ACTA1","A8K3K1",NA
"397","ACTB","P02570",NA
"398","ACTG1","A8K7C2",NA
"399","ACTN1","A0A024R694",NA
"400","ACTN4","A0A8V8TL71",NA
"401","ADAM10","B4DU28",NA
"402","ADAM17","Q53RS1",NA
"403","ADAR","A0AAQ5BGJ4",NA
"404","AGRN","A0A087X208",NA
"405","ALDH3B1","A3FMP9",NA
"406","AMBP","P00977",NA
"407","ANTXR1","H0YC24",NA
"408","AP2A2","B7Z5S9",NA
"409","APEX1","G3V3M6",NA
"410","ARG1","A0A5F9ZGN6",NA
"411","ASPH","Q12797",NA
"412","ATP1A1","B2RBR6",NA
"413","ATXN2","F8VQP2",NA
"414","ATXN2L","H3BUF6",NA
"415","BAG2","B3KM36",NA
"416","BCAM","A0A087WXM8",NA
"417","BLMH","B2R796",NA
"418","BUB3","A0A140VJF3",NA
"419","CANX","A0A7P0T840",NA
"420","CAPRIN1","A6NMY7",NA
"421","CAPZA2","A4D0V4",NA
"422","CAPZB","B2R7T8",NA
"423","CASK","B7ZKY2",NA
"424","CAV2","P51636",NA
"425","CCDC69","A6NI79",NA
"426","CCNY","B2RBH6",NA
"427","CCT2","B7Z4R3",NA
"428","CCT5","B4DX08",NA
"429","CCT6A","B2R9K8",NA
"430","CCT8","Q53HU0",NA
"431","CD44","A5YRN9",NA
"432","CD55","A0A172WBW8",NA
"433","CD63","F8VZE2",NA
"434","CD81","E9PJK1",NA
"435","CD9","A6NNI4",NA
"436","CDCP1","Q49UB4",NA
"437","CDK7","D6RAD4",NA
"438","CFL1","B3KUQ1",NA
"439","CFL2","Q9Y281",NA
"440","CKAP4","B3KVX6",NA
"441","CLDN23","Q08AJ3",NA
"442","CLDN3","O15551",NA
"443","CLDND1","B3KQR1",NA
"444","CLTC","A0A087WVQ6",NA
"445","CNOT1","A5YKK6",NA
"446","CNOT7","Q96IQ6",NA
"447","CORO1C","B3KN06",NA
"448","CPM","B2R800",NA
"449","CSNK1G1","A0A0U1RQY7",NA
"450","CSNK1G2","B5BU42",NA
"451","CSNK1G3","Q9Y6M4",NA
"452","CTDSP1","H7C270",NA
"453","CTNNA1","B4E2G8",NA
"454","CTNND1","A8K939",NA
"455","DBN1","A0A2Z6ATB6",NA
"456","DCD","P81605",NA
"457","DCUN1D3","B3KVY4",NA
"458","DDOST","A0A0C4DGS1",NA
"459","DDX1","A0A7I2V4F0",NA
"460","DDX17","A0A1X7SBZ2",NA
"461","DDX3X","A0A2R8YFS5",NA
"462","DDX5","B4DLW8",NA
"463","DDX6","B2R858",NA
"464","DECR1","Q16698",NA
"465","DHX15","B4E0S6",NA
"466","DHX36","B7Z8P5",NA
"467","DHX9","B2RNV4",NA
"468","DLAT","A0A7P0Z4G4",NA
"469","DLST","B7Z6J1",NA
"470","DNAJA1","B7Z5C0",NA
"471","DNAJA2","B2R7L7",NA
"472","DNAJB14","Q6UXN1",NA
"473","DNMT1","Q59FP7",NA
"474","DSG1","B7Z845",NA
"475","DSP","Q4LE79",NA
"476","EDC4","A0A8B0RAT7",NA
"477","EDIL3","O43854",NA
"478","EEF1A1","A8K9C4",NA
"479","EEF1A2","A0A9L9PXK0",NA
"480","EEF1D","B2RAR6",NA
